Year,season,avg_temperature,avg_rainfall,total_rainfall
1994,Summer,26.9158,152.9176667,458.753
1994,Winter,19.16493333,13.90876333,41.72629
1995,Autumn,25.5075,110.30485,220.6097
1995,Monsoon,28.241225,465.3,1861.2
1995,Summer,27.71666667,95.96666667,287.9
1995,Winter,19.24833333,13.46163667,40.38491
1996,Autumn,25.09515,135.066695,270.13339
1996,Monsoon,28.050225,369.78575,1479.143
1996,Summer,27.5349,150.6408,451.9224
1996,Winter,19.5854,10.12624,30.37872
1997,Autumn,25.0797,28.73975,57.4795
1997,Monsoon,28.035925,435.978,1743.912
1997,Summer,26.4525,141.2704667,423.8114
1997,Winter,18.84033333,21.09415,63.28245
1998,Autumn,26.44555,138.6945,277.389
1998,Monsoon,28.554475,440.683,1762.732
1998,Summer,26.71226667,175.0143333,525.043
1998,Winter,19.71073333,17.70483667,53.11451
1999,Autumn,25.47955,142.41235,284.8247
1999,Monsoon,28.035175,483.26575,1933.063
1999,Summer,27.9122,126.0416533,378.12496
1999,Winter,20.68893333,2.120876667,6.36263
2000,Autumn,25.39245,93.32695,186.6539
2000,Monsoon,28.0118,368.31225,1473.249
2000,Summer,26.22013333,239.6325,718.8975
2000,Winter,19.04566667,15.70583,47.11749
2001,Autumn,25.93565,136.25215,272.5043
2001,Monsoon,28.294025,358.82325,1435.293
2001,Summer,27.08983333,176.7838333,530.3515
2001,Winter,20.4435,3.3024,9.9072
2002,Autumn,25.4832,106.33675,212.6735
2002,Monsoon,28.058975,469.467,1877.868
2002,Summer,27.01736667,141.0177,423.0531
2002,Winter,20.26183333,6.103843333,18.31153
2003,Autumn,25.8351,152.7029,305.4058
2003,Monsoon,28.496875,411.25525,1645.021
2003,Summer,26.90216667,126.5207,379.5621
2003,Winter,19.3803,14.36683,43.10049
2004,Autumn,24.7865,175.840315,351.68063
2004,Monsoon,28.211975,337.56425,1350.257
2004,Summer,27.75733333,154.9531,464.8593
2004,Winter,19.93136667,4.522093333,13.56628
2005,Autumn,25.16215,121.04712,242.09424
2005,Monsoon,28.589625,293.88325,1175.533
2005,Summer,27.28786667,159.3375333,478.0126
2005,Winter,20.3285,7.40242,22.20726
2006,Autumn,25.7149,68.50395,137.0079
2006,Monsoon,28.56635,346.263,1385.052
2006,Summer,27.46056667,183.1441367,549.43241
